snname,cubename,sem,rasn,decsn,sntype,notes
              SN2019axz,               SN2019axz, P113 ,14:30:16.660 ,-43:33:41.15  ,II      ,COMBINED 8 POINTINGS
              SN2018dza,               SN2018dza, P113 ,14:49:18.000 ,-30:17:22.45  ,II      ,
              SN2021aez,               SN2021aez, P113 ,15:36:03.970 ,-37:18:04.36  ,II      ,
              SN2020fsb,               SN2020fsb, P113 ,15:39:03.810 ,-25:58:28.34  ,II      ,
              SN2019gvp,               SN2019gvp, P113 ,16:46:35.521 ,-31:35:31.28  ,Ib      ,
              SN2019nxk,               SN2019nxk, P113 ,17:34:05.120 ,-14:48:31.93  ,II      ,
              SN2019hqm,               SN2019hqm, P113 ,17:36:56.190 ,+21:06:17.06  ,II      ,
              SN2020yzq,               SN2020yzq, P113 ,18:22:23.360 ,+23:28:32.05  ,II      ,
              SN2019leu,               SN2019leu, P113 ,19:05:16.370 ,+27:00:25.52  ,II      ,
              SN2019gqm,               SN2019gqm, P113 ,19:48:09.560 ,-24:26:36.60  ,II      ,COMBINED 8 POINTINGS
              SN2019cwt,               SN2019cwt, P113 ,20:00:40.190 ,-34:47:42.97  ,Ic-pec  ,COMBINED 7 POINTINGS
              SN2020zae,               SN2020zae, P113 ,20:07:47.955 ,-29:48:49.94  ,Ibc     ,COMBINED 6 POINTINGS
              SN2022rgy,               SN2020zae, P113 ,20:07:48.370 ,-29:48:29.05  ,Ia      ,
              SN2020fzj,               SN2020fzj, P113 ,20:15:42.935 ,-06:18:59.88  ,II      ,
              SN2018fer,               SN2018fer, P113 ,20:33:05.240 ,-20:51:24.37  ,IIb     ,
              SN2018dht,               SN2018dht, P113 ,20:55:19.057 ,+00:32:18.70  ,II      ,
               SN2005hl,               SN2018dht, P113 ,20:55:19.790 ,+00:32:34.69  ,Ib      ,
              SN2018fus,               SN2018fus, P113 ,21:02:31.290 ,-05:37:30.04  ,II      ,
              SN2019dna,               SN2019dna, P113 ,21:05:23.810 ,+19:44:34.30  ,II      ,
              SN2017hqj,               SN2017hqj, P113 ,21:05:39.014 ,+11:24:31.60  ,IIP     ,
              SN2018ass,               SN2018ass, P113 ,21:10:19.020 ,-29:31:22.40  ,IIP     ,COMBINED 7 POINTINGS
              SN2019sox,               SN2019sox, P113 ,21:31:24.720 ,+02:29:39.05  ,II      ,
              SN2017hhx,               SN2017hhx, P113 ,22:00:32.929 ,-27:13:29.36  ,IIP     ,
              SN2018emt,               SN2018emt, P113 ,22:10:35.660 ,-27:14:58.78  ,II      ,
              SN2019dtt,               SN2019dtt, P113 ,22:34:37.510 ,+00:10:32.56  ,II      ,
              SN2020voh,               SN2020voh, P113 ,23:03:40.290 ,-36:01:40.30  ,II      ,
              SN2019fya,               SN2019fya, P113 ,23:15:16.060 ,+19:02:29.83  ,II      ,
              SN2020zgl,               SN2020zgl, P113 ,23:28:01.150 ,-02:09:53.64  ,Ib-pec  ,
              SN2020twk,               SN2020twk, P113 ,23:29:13.482 ,-02:05:42.05  ,II      ,
              SN2020ovk,               SN2020ovk, P113 ,23:54:17.732 ,+26:19:36.16  ,II      ,
               SN2012ap,                SN2012ap, P114 ,05:00:13.721 ,-03:20:51.22  ,Ic      ,
               SN1994ai,                SN1994ai, P114 ,02:23:06.170 ,-21:13:58.30  ,Ic      ,
              SN2018lei,               SN2018lei, P114 ,02:33:34.402 ,-39:02:45.24  ,Ic      ,
               SN2012cw,                SN2012cw, P114 ,10:13:47.950 ,+03:26:02.62  ,Ic      ,
               SN2003aa,                SN2003aa, P114 ,10:46:36.821 ,+13:45:32.18  ,Ia      ,
               SN1997dq,                SN1997dq, P114 ,11:40:55.901 ,+11:28:45.70  ,Ib      ,
               SN2003jg,                SN2003jg, P114 ,09:45:37.910 ,-31:11:21.01  ,Ibc     ,
               LSQ13doo,                LSQ13doo, P114 ,11:48:45.780 ,-28:17:31.20  ,Ic-BL   ,
               SN2011hp,                SN2011hp, P114 ,12:16:25.471 ,-43:19:46.88  ,Ic      ,
               SN2011am,                SN2011hp, P114 ,12:16:25.999 ,-43:19:19.99  ,Ib      ,
               SN2014ad,                SN2014ad, P114 ,11:57:44.441 ,-10:10:15.71  ,I       ,
               SN2011jl,                SN2011jl, P114 ,10:43:02.950 ,-36:21:52.42  ,Ic      ,
            ASASSN-15pz,             ASASSN-15pz, P114 ,03:08:48.443 ,−35:13:50.89  ,Ia-03fg ,
               PTF10qrl,                PTF10qrl, P114 ,23:09:52.957 ,+13:07:57.38  ,IIb     ,
              SN2016flq,               iPTF16flq, P114 ,00:28:36.504 ,-01:33:03.24  ,Ic      ,
              iPTF15cna,               iPTF15cna, P114 ,23:20:10.945 ,+28:50:57.94  ,IIb     ,
               SN2011kn,                PTF11mnb, P114 ,00:34:13.250 ,+02:48:31.43  ,Ic      , 
              SN2016hgp,               iPTF16hgp, P114 ,00:12:06.413 ,+32:11:50.88  ,Ic      ,
               SN2013bb,                PTF13aby, P114 ,14:12:13.961 ,+15:50:31.49  ,IIb     ,
              SN2019nyk,               SN2019nyk, P115 ,00:15:15.202 ,-08:11:21.85  ,II      ,
             SN2020aeje,              SN2020aeje, P115 ,00:17:11.970 ,-07:37:37.42  ,II      ,
               SN2019zc,                SN2019zc, P115 ,00:29:29.394 ,-13:28:42.69  ,II      ,
              SN2019hgu,               SN2019hgu, P115 ,00:50:24.886 ,-12:05:42.59  ,II      ,
              SN2018cdc,               SN2018cdc, P115 ,00:51:05.260 ,-07:03:47.75  ,II      ,
              SN2019gql,               SN2019gql, P115 ,00:51:40.874 ,-13:19:05.80  ,II      ,
              SN2019lre,               SN2019lre, P115 ,01:58:50.798 ,-09:35:05.63  ,II      ,
              SN2018lcd,               SN2018lcd, P115 ,01:51:10.670 ,-03:29:24.94  ,II      ,
              SN2018jkb,               SN2018jkb, P115 ,02:21:09.800 ,-04:04:23.77  ,II      ,
              SN2020yyz,               SN2020yyz, P115 ,02:34:00.140 ,+20:58:26.44  ,IIP     ,
              SN2019ply,               SN2019ply, P115 ,02:59:46.990 ,+15:17:48.70  ,IIb     ,
              SN2018jfp,               SN2018jfp, P115 ,03:17:56.270 ,-00:10:10.81  ,II      ,
              SN2017jcu,               SN2017jcu, P115 ,03:22:46.957 ,+00:08:53.49  ,II      ,
              SN2017ilo,               SN2017ilo, P115 ,03:31:20.643 ,+04:07:54.52  ,II      ,
              SN2018hle,               SN2018hle, P115 ,03:39:28.106 ,-13:07:02.48  ,II      ,
              SN2020rvf,               SN2020rvf, P115 ,03:54:15.928 ,+15:55:42.62  ,Ia      ,
              SN2019xvo,               SN2019xvo, P115 ,03:58:22.720 ,+06:42:55.62  ,II      ,
              SN2018gle,               SN2018gle, P115 ,04:25:03.010 ,-14:36:47.92  ,Ic      ,
             SN2020adhh,              SN2020adhh, P115 ,04:43:46.180 ,+28:58:10.53  ,II      ,
              SN2020aer,               SN2020aer, P115 ,04:48:35.430 ,-04:49:19.78  ,II      ,
              SN2019tba,               SN2019tba, P115 ,04:55:09.840 ,-16:09:01.30  ,II      ,
              SN2020eai,               SN2020eai, P115 ,04:59:08.050 ,+04:58:21.81  ,Ib      ,
              SN2020htt,               SN2020htt, P115 ,10:31:38.384 ,-17:51:08.08  ,Ib      ,
              SN2020bij,               SN2020bij, P115 ,10:55:11.680 ,-26:08:24.47  ,II      ,
               SN2021os,                SN2021os, P115 ,12:02:54.070 ,+05:36:53.17  ,II      ,
              SN2019dke,               SN2019dke, P115 ,12:53:38.200 ,-26:17:31.42  ,II      ,
              SN2020kxg,               SN2020kxg, P115 ,13:20:00.505 ,-16:39:40.06  ,Ib      ,
              SN2017kam,               SN2017kam, P115 ,13:42:43.930 ,-24:20:06.18  ,II-pec  ,
              SN2018ctr,               SN2018ctr, P115 ,13:48:47.820 ,+06:21:18.83  ,II      ,
              SN2018bui,               SN2018bui, P115 ,14:20:43.440 ,+13:41:43.04  ,II      ,
               SN2018rz,                SN2018rz, P115 ,14:27:11.440 ,-02:16:11.21  ,IIP     ,
              SN2020jjj,               SN2020jjj, P115 ,14:31:19.640 ,-25:39:31.10  ,II      ,
              SN2019bzd,               SN2019bzd, P115 ,14:47:32.040 ,-19:45:57.71  ,IIP     ,
              SN2018kfn,               SN2018kfn, P115 ,16:02:42.480 ,+15:14:11.26  ,II      ,
              SN2019lsj,               SN2019lsj, P115 ,19:36:59.131 ,-11:57:13.62  ,IIP     ,
              SN2020hox,               SN2020hox, P115 ,19:42:26.160 ,-15:52:44.08  ,II      ,
              SN2020vzv,               SN2020vzv, P115 ,21:13:24.765 ,+17:40:29.08  ,II      ,
              SN2018iqx,               SN2018iqx, P115 ,22:27:53.592 ,+19:27:38.44  ,Ibc     ,
              SN2020uas,               SN2020uas, P115 ,22:59:38.670 ,+20:08:35.66  ,Ibc     ,
              SN2019odp,               SN2019odp, P115 ,23:07:19.090 ,+13:51:21.42  ,Ib      ,
              SN2019wbd,               SN2019wbd, P115 ,23:20:35.172 ,-00:52:51.07  ,II      ,
              SN2020uzq,               SN2020uzq, P115 ,23:34:00.190 ,-11:46:59.06  ,II      ,
              SN2019hnl,               SN2019hnl, P115 ,23:43:10.263 ,-02:56:58.64  ,II      ,
              SN2018gvt,               SN2018gvt, P115 ,23:07:32.545 ,+23:00:20.93  ,II      ,
              SN2019tkm,            ZTF19acgldqr, P115 ,00:22:28.215 ,-04:50:10.92  ,Ia-91bg , 
              SN2019tkn,            ZTF19achetvw, P115 ,00:25:42.053 ,+08:38:08.36  ,Ia-91bg , 
             SN2020aclx,            ZTF20acymtbr, P115 ,00:37:53.521 ,-21:28:18.95  ,Ia-91bg , 
              SN2020vzp,            ZTF20aciigcw, P115 ,00:58:50.243 ,+12:56:24.06  ,Ia-91bg , 
              SN2019qkz,            ZTF19abzprpk, P115 ,01:00:30.560 ,+25:35:37.78  ,Ia-91bg , 
              SN2018jag,            ZTF18acrcetn, P115 ,01:03:48.310 ,+10:35:32.38  ,Ia-91bg ,  
              SN2020pwu,            ZTF20abmddts, P115 ,01:25:44.197 ,+02:26:10.41  ,Ia-91bg ,observed also in P116 - JOINED
             SN2020abpe,            ZTF20acvbrbv, P115 ,01:36:24.560 ,+22:02:59.29  ,Ia-91bg , 
              SN2019hvu,            ZTF19aavvvrc, P115 ,01:50:39.930 ,+33:05:09.49  ,Ia-91bg , 
              SN2019qyo,            ZTF19acazpyz, P115 ,02:01:47.206 ,-01:20:27.45  ,Ia-91bg , 
              SN2019mbm,            ZTF19abjpkdz, P115 ,02:35:59.270 ,+10:26:31.10  ,Ia-91bg , 
              SN2020bdf,            ZTF20aaivjce, P115 ,02:55:47.832 ,+15:06:01.17  ,Ia-91bg ,
              SN2019vuh,            ZTF19acyftrs, P115 ,03:26:42.374 ,-23:29:55.69  ,Ia-91bg , 
              SN2020iyz,            ZTF20aaydgsu, P115 ,12:57:51.162 ,-17:15:36.01  ,Ia-04gs , 
              SN2019iaf,            ZTF19abalrbb, P115 ,18:13:22.222 ,+11:29:34.06  ,Ia-91bg , 
              SN2019mad,            ZTF19abiahik, P115 ,20:06:06.177 ,+08:09:08.77  ,Ia-91bg , 
              SN2019ell,            ZTF19aatvkrn, P115 ,20:29:40.920 ,+02:23:07.62  ,Ia-04gs , 
              SN2019etc,            ZTF19aatvljp, P115 ,21:06:08.120 ,+14:58:53.83  ,Ia-04gs , 
              SN2020pki,            ZTF19aaarhtg, P115 ,21:12:24.304 ,+13:00:17.57  ,Ia-86G  , 
              SN2018ebs,            ZTF19abkbkxy, P115 ,21:39:37.601 ,+08:56:39.71  ,Ia      , 
              SN2019luv,            ZTF19abioohk, P115 ,21:55:15.008 ,-12:08:56.37  ,Ia-91bg ,observed also in P116 - JOINED
              SN2020rlj,            ZTF20abtctgr, P115 ,23:01:09.614 ,+23:29:14.00  ,Ia-91bg , 
              SN2019noh,            ZTF19abpqvdh, P115 ,23:05:40.758 ,+27:39:57.52  ,Ia-91bg , 
              SN2020khr,            ZTF20aakhpmp, P115 ,23:21:49.410 ,+03:49:41.74  ,Ia-91bg ,observed also in P116 - JOINED
              SN2019weu,            ZTF19acxgxcu, P115 ,23:24:33.190 ,+05:06:39.35  ,Ia-02es , 
              SN2020yti,            ZTF20acoredl, P115 ,23:35:23.651 ,-14:47:49.80  ,Ia-04gs , 
              SN2019hhz,            ZTF19aaynsws, P115 ,23:50:38.621 ,+06:06:23.25  ,Ia-91bg , 
              SN2022vqz,            ZTF22abhrjld, P116 ,00:51:05.782 ,+29:32:12.16  ,Ia-02es ,
               SN2020yo,            ZTF20aafqpum, P116 ,03:06:06.513 ,+13:54:48.57  ,Ia-91bg ,
              SN2019qih,            ZTF19abzlsbl, P116 ,03:52:10.730 ,-08:30:22.97  ,Ia-91bg ,
              SN2018fhx,            ZTF20acmuzkw, P116 ,06:24:37.980 ,-23:43:59.05  ,Ia-91bg ,*************
              SN2020amt,            ZTF20aahaxjl, P116 ,07:34:43.709 ,+18:02:32.97  ,Ia-91bg ,
             SN2020abmg,            ZTF20acuoacn, P116 ,08:15:24.545 ,-06:57:27.74  ,Ia-91bg ,
             SN2020acbx,            ZTF20acwpbgv, P116 ,08:46:21.190 ,-12:39:21.58  ,Ia-91bg ,*************
              SN2020yje,            ZTF20acnznol, P116 ,10:27:11.716 ,+10:01:29.79  ,Ia-91bg ,*************
             SN2020acjw,            ZTF20acwqndp, P116 ,11:31:00.919 ,+27:14:34.20  ,Ia-04gs ,*************
              SN2019rlq,            ZTF19acblzux, P116 ,03:37:57.403 ,-05:00:02.42  ,Ia-91bg ,*************
              SN2020agm,            ZTF20aagvvnr, P116 ,10:49:57.092 ,+13:56:39.32  ,Ia-04gs ,*************
              SN2020ckd,            ZTF20aamkyyx, P116 ,12:36:36.600 ,+08:35:15.36  ,Ia-04gs ,*************
              SN2020szq,            ZTF20abzettb, P116 ,04:07:24.057 ,+30:17:19.47  ,Ia-91bg ,*************
              SN2018iko,            ZTF18acemhyb, P116 ,07:56:34.150 ,+30:10:35.76  ,Ia-04gs ,*************
              SN2018jpn,            ZTF18acslpba, P116 ,02:44:08.213 ,-09:27:06.00  ,Ia-04gs ,*************
              SN2018gio,            ZTF18actasgb, P116 ,04:20:41.270 ,-14:46:52.61  ,Ia-02es ,*************
              SN2019wdx,            ZTF19acxngol, P116 ,08:23:41.402 ,+21:26:03.97  ,Ia-91bg ,*************
               SN2015bs,                SN2015bs, DTD  ,22:33:43.775 ,-06:22:08.33  ,II      ,MUSE-DEEP
            ASASSN-15ja,             ASASSN-15ja, HK   ,01:09:39.03  ,-61:19:58.33  ,Ia      ,NO LC  ---   SN spectrum THERE
                SN2010F,                 SN2010F, HK   ,10:05:21.050 ,-34:13:21.00  ,II      ,
               SN1999ca,                 SN2010F, HK   ,10:05:22.920 ,-34:12:41.29  ,II      ,
               SN2009bb,                SN2009bb, HK   ,10:31:33.871 ,-39:57:29.99  ,Ic      ,
               SN2009md,                SN2009md, HK   ,10:48:26.280 ,+12:32:02.80  ,II      ,MUSE-DEEP
               SN1997dn,                SN1997dn, HK   ,10:54:18.950 ,+27:14:07.30  ,II      ,
               SN2001fv,                SN2001fv, HK   ,11:04:01.661 ,+28:01:55.70  ,II      ,
                SN1985G,                 SN1985G, HK   ,12:28:40.409 ,+09:15:39.82  ,II      ,SDSS OBJID problem
                SN2009N,                 SN2009N, HK   ,12:31:09.470 ,-08:02:56.29  ,II      ,
                SN1970A,                 SN1970A, HK   ,12:32:40.65  ,+14:02:38.2   ,II      ,
               SN2006my,                SN2006my, HK   ,12:43:40.740 ,+16:23:14.10  ,II      ,
                SN1987K,                SN2006my, HK   ,12:43:41.17  ,+16:23:44.9   ,II      ,
                SN1997X,                 SN1997X, HK   ,12:48:14.280 ,-03:19:58.51  ,Ic      ,COMBINED 20 POINTINGS
                SN1983K,                 SN1983K, HK   ,12:49:12.250 ,-08:37:42.20  ,II      ,
              SN2024muv,                 NGC4699, arx  ,12:49:02.452 ,-08:39:51.19  ,Ia      ,also host of 1983K
               SN2011jm,                SN2011jm, HK   ,12:54:51.101 ,+02:39:14.90  ,Ic      ,COMBINED 10 POINTINGS
               SN2011fh,                SN2011fh, HK   ,12:56:14.009 ,-29:29:54.82  ,IIn     ,
               SN1999br,                SN1999br, HK   ,13:00:41.801 ,+02:29:45.82  ,IIn     ,COMBINED 16 POINTINGS(1800s + 3600s core)
                SN2000P,                 SN2000P, HK   ,13:07:10.529 ,-28:14:02.51  ,IIn     ,
                SN1990Q,                 SN1990Q, HK   ,15:21:33.250 ,-07:22:26.62  ,II      ,
                SN2001X,                 SN2001X, HK   ,15:21:55.450 ,+05:03:42.08  ,II      ,
               SN2005at,                SN2005at, HK   ,19:09:53.570 ,-63:49:22.80  ,Ic      ,COMBINED 20 POINTINGS
               SN1998bw,                SN1998bw, HK   ,19:35:03.310 ,-52:50:44.81  ,Ic      ,MUSE-DEEP
                SN1978G,                 SN1978G, HK   ,22:20:48.31  ,-46:01:23.0   ,IIn     ,
               SN2012ho,                SN2012ho, HK   ,22:40:17.021 ,-02:25:34.10  ,II      ,
               SN2005hk,                SN2005hk, JL   ,00:27:50.870 ,-01:11:52.51  ,Ia-02cx ,4;202 CREATED MANUALLY 
               SN2013gr,                SN2013gr, JL   ,01:46:27.900 ,-58:40:23.81  ,Ia-02cx ,NO LC
                SN2012Z,                 SN2012Z, JL   ,03:22:05.350 ,-15:23:15.61  ,Ia-02cx ,COMBINED 10 POINTINGS
               SN2002fk,                 SN2012Z, JL   ,03:22:05.710 ,-15:24:03.20  ,Ia-02cx ,
               SN1991bj,                SN1991bj, JL   ,03:41:30.480 ,-04:39:49.61  ,Ia-02cx ,NO LC - 100;199 CREATED MANUALLY
               SN2008ge,                SN2008ge, JL   ,04:08:24.679 ,-47:53:47.40  ,Ia-02cx ,NO LC
                SN2009J,                 SN2009J, JL   ,05:55:21.130 ,-76:55:20.78  ,Ia-02cx ,
               SN2009iw,                 SN2009J, JL   ,05:55:25.639 ,-76:55:15.89  ,Ia      ,NO LC
               SN2010ae,                SN2010ae, JL   ,07:15:54.650 ,-57:20:36.89  ,Ia-02cx ,
               SN2008ae,                SN2008ae, JL   ,09:56:03.199 ,+10:29:58.810 ,Ia-02cx ,MUSE-DEEP - 191;165 CREATED MANUALLY 
               SN2002cx,                SN2002cx, JL   ,13:13:49.721 ,+06:57:31.90  ,Ia-02cx ,143;108 CREATED MANUALLY 
              SN2023yni,                SN2002cx, JL   ,13:13:49.55  ,+06:57:39.44  ,II      ,
               SN2014ey,               iPTF14ans, JL   ,15:04:29.972 ,+02:19:51.25  ,Ia-02cx ,
              SN2022oor,               iPTF14ans, JL   ,15:04:29.806 ,+02:20:18.82  ,II      ,MUSE-DEEP
               SN2004cs,                SN2004cs, JL   ,17:50:14.381 ,+14:16:59.48  ,Ia-02cx ,NO LC
               SN2011ce,                SN2011ce, JL   ,18:55:35.839 ,-53:43:29.10  ,Ia-02cx ,NO LC
               SN2004do,                SN2011ce, JL   ,18:55:33.720 ,-53:43:22.80  ,Ia      ,NO LC
              SN2025tam,                SN2011ce, JL   ,18:55:34.321 ,-53:43:22.76  ,II      ,
               SN2008ha,                SN2008ha, JL   ,23:34:52.690 ,+18:13:35.40  ,Ia-02cx ,
               SN2010jr,               IRAS05177, SV   ,05:19:34.471 ,-32:39:14.62  ,II      ,
               SN2005ip,                 NGC2906, SV   ,09:32:06.420 ,+08:26:44.41  ,II      ,
               SN2000cb,                  IC1158, SV   ,16:01:32.150 ,+01:42:23.00  ,II      ,COMBINED 6 POINTINGS
               SN2000do,                 NGC6754, SV   ,19:11:26.191 ,-50:38:24.50  ,Ia      ,NO LC 
               SN2005cu,                 NGC6754, SV   ,19:11:24.511 ,-50:38:28.79  ,II      ,
               SN1998dq,                 NGC6754, SV   ,19:11:23.779 ,-50:38:25.51  ,Ia      ,NO LC 
                SN1998X,                 NGC6754, SV   ,19:11:23.19  ,-50:38:33.8   ,II      ,
               SN2000ft,                 NGC7469, SV   ,23:03:15.511 ,+08:52:26.29  ,II      ,
               SN2008ec,                 NGC7469, SV   ,23:03:16.560 ,+08:52:19.81  ,Ia      ,
              AT2017glg,                 NGC7469, SV   ,23:03:14.800 ,+08:52:55.00  ,?       ,
                SN1993R,                 NGC7742, SV   ,23:44:16.29  ,+10:46:07.10  ,II      ,NO LC 
               SN2014cy,                 NGC7742, SV   ,23:44:16.030 ,+10:46:12.50  ,II      ,
              SN2021ocs,                  Arp144, arx  ,00:06:27.481 ,-13:24:56.91  ,Ic      ,   
               SN2010hp,                  Arp256, arx  ,00:18:50.011 ,-10:21:40.61  ,II      ,
                SN1994Z,                 NGC0087, arx  ,00:21:16.601 ,-48:37:49.51  ,II      ,MUSE-DEEP
               SN2014da,                 NGC0128, arx  ,00:29:15.120 ,+02:51:57.60  ,Ia      ,
              AT2016fnl,                 Mrk0950, arx  ,00:29:57.042 ,+32:53:37.51  ,TDE     ,
             SN2021afdx,               cartwheel, arx  ,00:37:42.580 ,-33:43:25.28  ,II      ,MUSE-DEEP
               SN2011gz,                SN2011gz, arx  ,00:37:46.270 ,-33:39:51.41  ,Ia      ,another cube will be available with apparently better resolution
               SN2003ic,                 Holm15A, arx  ,00:41:50.230 ,-09:18:19.01  ,Ia      ,
                SN1940E,                 NGC0253, arx  ,00:47:31.400 ,-25:17:37.00  ,I       ,HUGE GALAXY TO BE COMBINED AT SOME POINT -- TO DO --
              SN2021qzp,                NGC0247B, arx  ,00:47:35.640 ,-20:25:40.15  ,Ibc     ,MUSE-DEEP   
              SN2021vtq,             ESO540-G025, arx  ,00:47:38.940 ,-20:31:24.46  ,Ia      ,MUSE-DEEP   
             SN2020acli,              SN2020acli, arx  ,00:55:08.916 ,-37:44:19.85  ,IIn     ,           
               SN2008ee,                 NGC0307, arx  ,00:56:32.959 ,-01:46:16.00  ,Ia      ,NO LC
               SN2007nq,                UGC00595, arx  ,00:57:33.569 ,-01:23:19.00  ,Ia      ,
               SN2010jo,                UGC00595, arx  ,00:57:35.580 ,-01:23:33.40  ,Ia      ,NO LC
              SN2024rsv,                   3C033, arx  ,01:08:52.934 ,+13:19:50.09  ,Ia      ,
                SN1995Y,                 NGC0410, arx  ,01:10:59.599 ,+33:08:40.70  ,Ia      ,COMBINED 3 POINTINGS - NO LC
              SN2019krl,                 NGC0628, arx  ,01:36:49.651 ,+15:46:46.21  ,IIn     ,PHANGS
              SN2022sat,               SN2022sat, arx  ,02:02:04.800 ,-28:35:28.97  ,II      ,this is small field muse - mostly SN spectrum
                SN2005H,                 NGC0838, arx  ,02:09:38.520 ,-10:08:43.58  ,II      ,MUSE-DEEP
              SN2021zex,                   IC214, arx  ,02:14:05.673 ,+05:10:35.59  ,II      ,      
              SN2018djd,                 NGC0863, arx  ,02:14:33.830 ,-00:45:56.77  ,Ia      ,MUSE-DEEP
               SN2000dx,                   Arp10, arx  ,02:18:26.880 ,+05:39:02.02  ,Ia      ,
              SN2016frs,              ESO115-G02, arx  ,02:17:29.370 ,-59:51:23.47  ,Ia      ,MUSE-DEEP
               SN2005dm,                   IC219, arx  ,02:18:39.250 ,-06:54:10.80  ,Ia-91bg ,
              SN2021vtl,                 NGC0940, arx  ,02:29:28.070 ,+31:38:38.08  ,Ia      ,      
              SN2020rht,              SWIFTJ3728, arx  ,02:30:17.310 ,+28:36:02.63  ,II      ,
              SN2018ivc,                 NGC1068, arx  ,02:42:41.290 ,-00:00:31.71  ,II      ,COMBINED 20 POINTINGS
               SN2004fd,                 NGC1060, arx  ,02:43:15.250 ,+32:25:25.61  ,Ia      ,NO LC
               SN2020dr,                 NGC1099, arx  ,02:45:18.878 ,-17:42:18.51  ,Ic      ,
                SN2009H,                 NGC1084, arx  ,02:45:58.361 ,-07:35:00.31  ,II      ,
               SN2012ec,                 NGC1084, arx  ,02:45:59.880 ,-07:34:27.01  ,II      ,
               SN1996an,                 NGC1084, arx  ,02:46:00.83  ,-07:34:20.30  ,II      ,
               SN1998dl,                 NGC1084, arx  ,02:46:01.469 ,-07:34:25.10  ,II      ,
                SN1963P,                 NGC1084, arx  ,02:46:02.100 ,-07:34:50.48  ,Ia      ,
               SN1992bd,                 NGC1097, arx  ,02:46:18.900 ,-30:16:30.00  ,II      ,
                SN1995V,                 NGC1087, arx  ,02:46:26.770 ,-00:29:55.61  ,II      ,PHANGS
              SN2019oyw,              GRB190829A, arx  ,02:58:10.510 ,-08:57:27.20  ,Ic-BL   ,
              SN2021yxr,                  Arp108, arx  ,03:03:07.476 ,-22:12:04.86  ,II      ,      
             SN2022acko,                 NGC1300, arx  ,03:19:38.990 ,-19:23:42.68  ,II      ,PHANGS
              SN2023nfg,                UGC02690, arx  ,03:20:42.980 ,-01:06:33.48  ,II      ,
                SN1981D,                 SN1981D, arx  ,03:22:38.40  ,-37:13:58.00  ,Ia      ,THIS NEED TO BE JOINED WITH SN2006dd in NGC1316 -- TO DO -- NO LC           
               SN1994aa,                 NGC1320, arx  ,03:24:49.399 ,-03:02:33.61  ,Ia      ,MUSE-DEEP
               SN2002fw,                    MXDF, arx  ,03:32:37.519 ,-27:46:46.60  ,Ia      ,FROM UDF-MOSAIC
               SN2012fq,           CANDELSCDFS16, arx  ,03:32:32.899 ,-27:51:21.10  ,Ia      ,NO LC - REDSHIFT VERY LARGE -> RESTFRAME VERY BLUE. ANALYZE INDEPENDENTLY
               SN1999gu,             HUDF09-2-03, arx  ,03:33:00.149 ,-27:51:40.10  ,II      ,
               SN2001du,                 NGC1365, arx  ,03:33:29.100 ,-36:08:31.20  ,II      ,PHANGS
                SN1983V,                 NGC1365, arx  ,03:33:31.661 ,-36:08:54.89  ,II      ,PHANGS
               SN2012fr,                 NGC1365, arx  ,03:33:35.990 ,-36:07:37.70  ,Ia      ,PHANGS
                SN1992A,                 NGC1380, arx  ,03:36:27.430 ,-34:57:31.50  ,Ia      ,
              SN2022ffv,                 NGC1381, arx  ,03:36:29.715 ,-35:17:21.59  ,Ia      ,MUSE-DEEP
              AT2020pju,                 NGC1385, arx  ,03:37:29.920 ,-24:30:04.14  ,LBV     ,PHANGS
                SN1985P,                 NGC1433, arx  ,03:42:06.360 ,-47:12:36.00  ,II      ,PHANGS
               SN2005my,               ESO302-27, arx  ,04:01:53.129 ,-41:56:08.30  ,II      ,
              SN2016gqv,                UGC02936, arx  ,04:02:48.534 ,+01:58:15.57  ,Ic-pec  ,MUSE-DEEP
               SN1991bd,                UGC02936, arx  ,04:02:49.661 ,+01:58:26.40  ,Ia      ,   
              SN2018fhw,               SN2018fhw, arx  ,04:18:06.200 ,-63:36:56.41  ,Ia      ,MUSE-DEEP
             SN2021aefx,                 NGC1566, arx  ,04:19:53.400 ,-54:56:53.09  ,Ia      ,PHANGS      
               SN2010el,                 NGC1566, arx  ,04:19:58.829 ,-54:56:38.51  ,Ia-02cx ,PHANGS      
            ASASSN-14ha,                 NGC1566, arx  ,04:20:01.416 ,-54:56:17.16  ,II      ,PHANGS      
              SN2019obh,                 MRK0618, arx  ,04:36:22.244 ,-10:22:20.04  ,IIb     ,COMBINED 8 POINTINGS
              SN2022aau,                 NGC1672, arx  ,04:45:41.754 ,-59:14:43.38  ,II      ,PHANGS same galaxy as SN2017gax
              AT2019qiz,               AT2019qiz, arx  ,04:46:37.880 ,-10:13:34.90  ,TDE     ,
               SN2012gk,               ESO305-21, arx  ,05:22:41.501 ,-39:03:44.32  ,II      ,
                SN1987A,                 SN1987A, arx  ,05:35:27.989 ,-69:16:11.50  ,II      ,
              AT2019xis,               AT2019xis, arx  ,05:36:13.700 ,-69:16:24.70  ,II-LE   ,COMBINED 9 POINTINGS
                SN2011N,              ESO120-016, arx  ,05:51:35.179 ,-59:02:51.29  ,Ic      ,15 CUBES JOINED BUT THERE ARE 56 -- TO DO --
